"symbol","date","open","high","low","close","volume","adjusted"
"ALGN",2020-03-11,221.429993,223.149994,199.460007,202.179993,1588000,202.179993
"ALGN",2020-03-12,182.229996,194.399994,174.570007,180.119995,1874800,180.119995
"ALGN",2020-03-13,190,195.970001,179.050003,195.880005,1240400,195.880005
"ALGN",2020-03-16,170.649994,172.899994,161.380005,161.720001,1513400,161.720001
"ALGN",2020-03-17,165.429993,171.679993,147.080002,169.25,1882700,169.25
"ALGN",2020-03-18,158.789993,163.820007,135,145.759995,1614000,145.759995
"ALGN",2020-03-19,141.289993,146.789993,127.879997,142.229996,1832200,142.229996
"ALGN",2020-03-20,144.949997,157.940002,142.619995,144.820007,1759400,144.820007
"ALGN",2020-03-23,146.25,148.660004,133,137.720001,1631500,137.720001
"ALGN",2020-03-24,149.529999,165.800003,146.539993,165.279999,1477900,165.279999
"ALGN",2020-03-25,170.369995,194.479996,168.009995,183.679993,2143400,183.679993
"ALGN",2020-03-26,182.899994,200.619995,182.5,191.639999,1528800,191.639999
"ALGN",2020-03-27,180.5,182.009995,173.389999,177.039993,1168200,177.039993
"ALGN",2020-03-30,174.690002,180.789993,170.330002,179.919998,1222500,179.919998
"ALGN",2020-03-31,177.990005,182.539993,169.759995,173.949997,1270500,173.949997
"ALGN",2020-04-01,164.089996,170.619995,153.190002,157.199997,1513100,157.199997
"ALGN",2020-04-02,155.070007,160.699997,150.380005,152.070007,1316700,152.070007
"ALGN",2020-04-03,151.369995,158.960007,151.369995,154.199997,1464400,154.199997
"ALGN",2020-04-06,167.050003,177.880005,164.039993,176.740005,1574900,176.740005
"ALGN",2020-04-07,189.699997,194.75,172.440002,174.550003,1496900,174.550003
"ALGN",2020-04-08,176.839996,185.940002,174.429993,184.410004,1805200,184.410004
"ALGN",2020-04-09,183.869995,197.990005,181.860001,193.190002,1765500,193.190002
"ALGN",2020-04-13,189.339996,190.429993,178.899994,185.720001,1071300,185.720001
"ALGN",2020-04-14,189.110001,193.440002,187.039993,190,885300,190
"ALGN",2020-04-15,182.110001,186.869995,181.169998,183.830002,920400,183.830002
"ALGN",2020-04-16,185.770004,187.570007,178.699997,180.339996,1110700,180.339996
"ALGN",2020-04-17,188.369995,193.380005,183.990005,193,1340500,193
"ALGN",2020-04-20,189.770004,205,188.389999,196.710007,1388100,196.710007
"ALGN",2020-04-21,191.080002,193.820007,184.669998,187.259995,1051100,187.259995
"ALGN",2020-04-22,190.899994,197.259995,187.639999,190.029999,1122400,190.029999
"ALGN",2020-04-23,190.339996,195.990005,187.759995,188.570007,1013800,188.570007
"ALGN",2020-04-24,189.710007,194.220001,186.649994,191.970001,829400,191.970001
"ALGN",2020-04-27,193.449997,196.990005,192.410004,196.669998,1009300,196.669998
"ALGN",2020-04-28,201.520004,208,198.25,203.509995,1446000,203.509995
"ALGN",2020-04-29,206.410004,227.440002,205.600006,220.580002,2182400,220.580002
"ALGN",2020-04-30,215,219.940002,206.399994,214.850006,2504300,214.850006
"ALGN",2020-05-01,208.080002,209.020004,201.009995,203.259995,1341800,203.259995
"ALGN",2020-05-04,199.399994,210.309998,197.139999,210.139999,1158200,210.139999
"ALGN",2020-05-05,214.809998,219.990005,207.580002,208.610001,1337100,208.610001
"ALGN",2020-05-06,210.309998,218.580002,209.020004,215.929993,1125800,215.929993
"ALGN",2020-05-07,218.410004,221.990005,210.5,213.5,1263500,213.5
"ALGN",2020-05-08,217.289993,217.759995,207.020004,210.029999,844200,210.029999
"ALGN",2020-05-11,207.710007,217.649994,206.429993,214.300003,941500,214.300003
"ALGN",2020-05-12,216.369995,216.639999,206.440002,206.449997,1067000,206.449997
"ALGN",2020-05-13,204.190002,205.070007,197.539993,200.979996,1169600,200.979996
"ALGN",2020-05-14,196.660004,206.259995,195.559998,206.089996,883800,206.089996
"ALGN",2020-05-15,201.080002,205.649994,199.559998,203.669998,950600,203.669998
"ALGN",2020-05-18,213.25,234.339996,210,229.419998,1829100,229.419998
"ALGN",2020-05-19,229.419998,229.979996,224.289993,224.369995,1159400,224.369995
"ALGN",2020-05-20,227.979996,240.720001,226.149994,236.020004,1382400,236.020004
"ALGN",2020-05-21,235,240.089996,232.229996,235.960007,879400,235.960007
"ALGN",2020-05-22,237.229996,245.5,235.350006,243.740005,967900,243.740005
"ALGN",2020-05-26,252.300003,255.649994,244.649994,247.899994,1220900,247.899994
"ALGN",2020-05-27,251.360001,252.360001,238.440002,251.410004,1101000,251.410004
"ALGN",2020-05-28,253.080002,254.979996,248.009995,249.179993,854800,249.179993
"ALGN",2020-05-29,247.669998,252.850006,242.600006,245.619995,1461300,245.619995
"ALGN",2020-06-01,247.339996,250.850006,243.800003,250.550003,806400,250.550003
"ALGN",2020-06-02,253.089996,263.829987,251,263.790009,1248600,263.790009
"ALGN",2020-06-03,265,272.940002,263.130005,268.350006,877600,268.350006
"ALGN",2020-06-04,268.109985,271,258.829987,260.070007,913900,260.070007
"ALGN",2020-06-05,267.850006,288.880005,267.049988,288.209991,1900000,288.209991
"ALGN",2020-06-08,286.309998,292.040009,285.209991,289.75,1205800,289.75
"ALGN",2020-06-09,286,287.51001,279.420013,279.709991,1316300,279.709991
"ALGN",2020-06-10,280,283.910004,266.609985,267.559998,1277900,267.559998
"ALGN",2020-06-11,254.440002,255,237.240005,238.279999,1583200,238.279999
"ALGN",2020-06-12,250.639999,257.339996,243.940002,251.399994,1305800,251.399994
"ALGN",2020-06-15,244.960007,259.829987,241.570007,258.799988,738400,258.799988
"ALGN",2020-06-16,268.230011,273.829987,260.019989,264.790009,804400,264.790009
"ALGN",2020-06-17,269.100006,269.100006,261.119995,262.209991,499600,262.209991
"ALGN",2020-06-18,261.089996,268,258.390015,264.609985,774800,264.609985
"ALGN",2020-06-19,269.059998,271.059998,257.049988,260.910004,1062400,260.910004
"ALGN",2020-06-22,261.850006,262.429993,255.789993,260.5,641300,260.5
"ALGN",2020-06-23,263.109985,268.880005,262.959991,267.410004,735500,267.410004
"ALGN",2020-06-24,261.970001,265.570007,253.289993,257.649994,988800,257.649994
"ALGN",2020-06-25,255.440002,258.309998,251.110001,257.429993,693500,257.429993
"ALGN",2020-06-26,258.029999,265.899994,254.690002,263.140015,1452500,263.140015
"ALGN",2020-06-29,265.339996,268,259.160004,266.480011,595200,266.480011
"ALGN",2020-06-30,266.670013,275.809998,264.369995,274.440002,862500,274.440002
"ALGN",2020-07-01,275.950012,280.609985,272.559998,273.839996,690200,273.839996
"ALGN",2020-07-02,279.149994,285.600006,276.649994,279.929993,696300,279.929993
"ALGN",2020-07-06,284.149994,288.130005,279.940002,282.440002,787700,282.440002
"ALGN",2020-07-07,281.880005,284.48999,274.410004,274.709991,449400,274.709991
"ALGN",2020-07-08,274.350006,279.290009,272.25,278.390015,551600,278.390015
"ALGN",2020-07-09,278.670013,279.809998,268.769989,274.079987,592400,274.079987
"ALGN",2020-07-10,273.600006,274,269.929993,273.290009,764200,273.290009
"ALGN",2020-07-13,274.929993,279.459991,269.450012,270.23999,647900,270.23999
"ALGN",2020-07-14,269.040009,299.959991,267.630005,299.619995,1604400,299.619995
"ALGN",2020-07-15,303.519989,321.48999,302,314.299988,1867200,314.299988
"ALGN",2020-07-16,308.809998,313.769989,305.869995,309,665900,309
"ALGN",2020-07-17,312.829987,326.359985,310.329987,322.299988,1002700,322.299988
"ALGN",2020-07-20,310.470001,315.459991,309.040009,312.970001,931100,312.970001
"ALGN",2020-07-21,316.119995,319.200012,312.190002,315.329987,694100,315.329987
"ALGN",2020-07-22,315,319.5,312.48999,317.970001,840500,317.970001
"ALGN",2020-07-23,305.5,314.399994,296.730011,299.049988,2345100,299.049988
"ALGN",2020-07-24,298.059998,303.299988,293.929993,298.140015,796300,298.140015
"ALGN",2020-07-27,296.399994,309.459991,294.570007,308.75,649300,308.75
"ALGN",2020-07-28,307.869995,308.470001,299.059998,299.109985,448500,299.109985
"ALGN",2020-07-29,299.070007,306.48999,299.070007,300.23999,816900,300.23999
"ALGN",2020-07-30,296.829987,296.829987,289.730011,296.130005,755000,296.130005
"ALGN",2020-07-31,297.429993,297.600006,288.529999,293.820007,579000,293.820007
"ALGN",2020-08-03,296.01001,297.75,287,287.359985,627400,287.359985
"ALGN",2020-08-04,286.649994,289.290009,279.829987,288.269989,824700,288.269989
"ALGN",2020-08-05,289.700012,299.660004,287.230011,298.51001,719800,298.51001
"ALGN",2020-08-06,294.519989,301.899994,292.339996,301.799988,633000,301.799988
"ALGN",2020-08-07,301.100006,309.100006,299.98999,305.809998,818600,305.809998
"ALGN",2020-08-10,305.369995,307.209991,298.859985,302.899994,552000,302.899994
"ALGN",2020-08-11,304.950012,311.429993,302.600006,304.130005,699900,304.130005
"ALGN",2020-08-12,306.269989,309.75,303.880005,307.980011,360600,307.980011
"ALGN",2020-08-13,308.559998,316.279999,306.98999,312.220001,443600,312.220001
"ALGN",2020-08-14,311.01001,312.890015,305.709991,306.959991,334100,306.959991
"ALGN",2020-08-17,310.670013,314.890015,308.820007,309.519989,590200,309.519989
"ALGN",2020-08-18,310.869995,311,304.579987,306.070007,431200,306.070007
"ALGN",2020-08-19,307.480011,308.450012,301.070007,301.51001,398200,301.51001
"ALGN",2020-08-20,300,302.100006,295.230011,297.25,449200,297.25
"ALGN",2020-08-21,296.269989,299.839996,293.630005,294.290009,464000,294.290009
"ALGN",2020-08-24,297.309998,303.350006,293.130005,295.079987,624300,295.079987
"ALGN",2020-08-25,296.029999,297.269989,289.519989,296.679993,580500,296.679993
"ALGN",2020-08-26,294.119995,301.929993,291.230011,300.700012,673800,300.700012
"ALGN",2020-08-27,300.269989,310.350006,299.26001,305.640015,739000,305.640015
"ALGN",2020-08-28,306,306.23999,299.799988,300.579987,418700,300.579987
"ALGN",2020-08-31,300.209991,300.940002,295.029999,296.980011,575000,296.980011
"ALGN",2020-09-01,297.100006,307.25,293.329987,305.429993,714000,305.429993
"ALGN",2020-09-02,307.720001,324.880005,306.640015,324.429993,870900,324.429993
"ALGN",2020-09-03,324.450012,325,310.679993,314.519989,810700,314.519989
"ALGN",2020-09-04,318,318,299.329987,309,837500,309
"ALGN",2020-09-08,299.98999,313.809998,299.029999,309.220001,916300,309.220001
"ALGN",2020-09-09,310.070007,328.839996,310.070007,323.920013,946100,323.920013
"ALGN",2020-09-10,324.059998,333.070007,324,327.950012,1093200,327.950012
"ALGN",2020-09-11,328.950012,333,314,317.660004,746200,317.660004
"ALGN",2020-09-14,319.48999,326.600006,319.48999,323.459991,454100,323.459991
"ALGN",2020-09-15,326.929993,339.730011,324.730011,335.23999,796000,335.23999
"ALGN",2020-09-16,338.230011,340.290009,328.73999,329.859985,610600,329.859985
"ALGN",2020-09-17,323.369995,329.26001,319.019989,328.029999,620500,328.029999
"ALGN",2020-09-18,329.600006,333.130005,314.970001,320.970001,909200,320.970001
"ALGN",2020-09-21,314.790009,322.559998,302.040009,322.299988,642600,322.299988
"ALGN",2020-09-22,326.76001,327.019989,313.980011,322.570007,492700,322.570007
"ALGN",2020-09-23,322.040009,325,307.380005,308.320007,578800,308.320007
"ALGN",2020-09-24,306.149994,316.429993,297.440002,311.880005,734200,311.880005
"ALGN",2020-09-25,310.029999,320.950012,307.170013,317.929993,479800,317.929993
"ALGN",2020-09-28,324.929993,328.779999,320.98999,322.859985,522100,322.859985
"ALGN",2020-09-29,323.899994,328.920013,320,320.170013,452400,320.170013
"ALGN",2020-09-30,322.559998,332.880005,320.290009,327.359985,687000,327.359985
"ALGN",2020-10-01,333.640015,333.640015,313.859985,317.609985,856900,317.609985
"ALGN",2020-10-02,312.019989,319.130005,310.029999,314.890015,544600,314.890015
"ALGN",2020-10-05,317.630005,320.309998,312.720001,319.51001,645800,319.51001
"ALGN",2020-10-06,322.190002,327.910004,315.23999,316.079987,499400,316.079987
"ALGN",2020-10-07,320.399994,327.089996,320.399994,323.619995,488400,323.619995
"ALGN",2020-10-08,325.589996,328.559998,321.859985,327.570007,346100,327.570007
"ALGN",2020-10-09,331.390015,331.859985,325.179993,328.640015,384200,328.640015
"ALGN",2020-10-12,334.98999,339.769989,330.899994,335.75,603800,335.75
"ALGN",2020-10-13,334.480011,336.26001,329.019989,330.820007,525000,330.820007
"ALGN",2020-10-14,333.529999,337.200012,328.390015,333.100006,555500,333.100006
"ALGN",2020-10-15,330.109985,338.119995,330,336.670013,616500,336.670013
"ALGN",2020-10-16,338.890015,343,335.079987,336.519989,548800,336.519989
"ALGN",2020-10-19,339,343.209991,322.869995,326.839996,660500,326.839996
"ALGN",2020-10-20,330.140015,339.679993,327.910004,334.600006,565300,334.600006
"ALGN",2020-10-21,334.200012,338.679993,328.970001,335.809998,892600,335.809998
"ALGN",2020-10-22,424.320007,459,424,453.230011,5114700,453.230011
"ALGN",2020-10-23,451.339996,470.429993,444.769989,469.559998,1959900,469.559998
"ALGN",2020-10-26,462.730011,475.369995,447.929993,454.51001,1641100,454.51001
"ALGN",2020-10-27,455.350006,469.910004,450.920013,455.089996,803000,455.089996
"ALGN",2020-10-28,447.809998,450.480011,439,439.51001,801800,439.51001
"ALGN",2020-10-29,436.600006,442.859985,428.880005,436.570007,774500,436.570007
"ALGN",2020-10-30,432,435.899994,417.359985,426.079987,767500,426.079987
"ALGN",2020-11-02,432.100006,458.440002,430.369995,458.440002,1247300,458.440002
"ALGN",2020-11-03,460.230011,465.660004,453.160004,465.01001,799500,465.01001
"ALGN",2020-11-04,472.230011,484.5,471.01001,483.459991,960200,483.459991
"ALGN",2020-11-05,486.470001,498.670013,486.470001,491.910004,890800,491.910004
"ALGN",2020-11-06,490.450012,491.5,476.119995,477.850006,664400,477.850006
"ALGN",2020-11-09,501,507.049988,476.790009,476.98999,957200,476.98999
"ALGN",2020-11-10,484.480011,484.480011,457.609985,464.320007,742100,464.320007
"ALGN",2020-11-11,464.700012,469.589996,456.480011,461.779999,543900,461.779999
"ALGN",2020-11-12,455.720001,464.850006,449.029999,452.76001,621500,452.76001
"ALGN",2020-11-13,455.769989,461.170013,452.25,457.26001,421500,457.26001
"ALGN",2020-11-16,463.23999,466.75,450.890015,457.170013,481000,457.170013
"ALGN",2020-11-17,452,456.410004,444.75,451.380005,516500,451.380005
"ALGN",2020-11-18,449.059998,455.149994,442.869995,444.609985,509100,444.609985
"ALGN",2020-11-19,443.540009,447.140015,439.709991,441.350006,408900,441.350006
"ALGN",2020-11-20,443.390015,452.570007,439.859985,446.450012,560100,446.450012
"ALGN",2020-11-23,452.149994,479.540009,449.470001,476.579987,814600,476.579987
"ALGN",2020-11-24,483.01001,486,465.459991,475.100006,633900,475.100006
"ALGN",2020-11-25,470.690002,474.609985,465.76001,473.690002,415800,473.690002
"ALGN",2020-11-27,470.920013,477.170013,468.140015,475.5,249800,475.5
"ALGN",2020-11-30,472.399994,483.880005,471.309998,481.290009,1113800,481.290009
"ALGN",2020-12-01,487.459991,508.959991,485.600006,500.100006,1162100,500.100006
"ALGN",2020-12-02,496.570007,507.640015,491.790009,505.480011,553200,505.480011
"ALGN",2020-12-03,506.23999,516.289978,505.309998,511,583500,511
"ALGN",2020-12-04,511.959991,524.880005,510.320007,521.719971,635200,521.719971
"ALGN",2020-12-07,521.900024,524.609985,515.5,517.710022,533100,517.710022
"ALGN",2020-12-08,516.75,518.169983,509.269989,515.76001,458100,515.76001
"ALGN",2020-12-09,516.23999,520.880005,507.309998,509.01001,463500,509.01001
"ALGN",2020-12-10,506.890015,511.320007,499.570007,508.390015,376700,508.390015
"ALGN",2020-12-11,507,509.5,498.26001,507.079987,305900,507.079987
"ALGN",2020-12-14,510.899994,522.340027,502.309998,504.309998,426900,504.309998
"ALGN",2020-12-15,511.799988,519.059998,502.600006,516.299988,347300,516.299988
"ALGN",2020-12-16,511.079987,520.380005,510.269989,516.340027,399300,516.340027
"ALGN",2020-12-17,522,527.25,516.950012,526.719971,535900,526.719971
"ALGN",2020-12-18,533.01001,535,521.650024,529.919983,896700,529.919983
"ALGN",2020-12-21,518.090027,531.599976,513.340027,530.710022,449500,530.710022
"ALGN",2020-12-22,531.98999,536.599976,527.599976,536.590027,435600,536.590027
"ALGN",2020-12-23,540.52002,543.650024,524.98999,525,308200,525
"ALGN",2020-12-24,528.140015,529.210022,521.130005,528.030029,163700,528.030029
"ALGN",2020-12-28,532.320007,532.73999,518.840027,520.859985,246900,520.859985
"ALGN",2020-12-29,524.919983,525.77002,512.799988,520.450012,223700,520.450012
"ALGN",2020-12-30,522.289978,527.969971,519.75,524.320007,250200,524.320007
"ALGN",2020-12-31,526.869995,535.400024,523.330017,534.380005,320900,534.380005
"ALGN",2021-01-04,549.609985,560,519.700012,526.460022,602400,526.460022
"ALGN",2021-01-05,526.969971,544.070007,526.77002,543.650024,344800,543.650024
"ALGN",2021-01-06,534.330017,546.47998,531.460022,540.390015,429000,540.390015
"ALGN",2021-01-07,547.780029,561.349976,544.27002,558.359985,513900,558.359985
"ALGN",2021-01-08,561.630005,579.5,559,570.530029,464200,570.530029
"ALGN",2021-01-11,565.01001,566.099976,551.830017,557.039978,351800,557.039978
"ALGN",2021-01-12,552.340027,562.390015,548.409973,552.880005,329000,552.880005
"ALGN",2021-01-13,551.26001,553.76001,543.909973,551.140015,322000,551.140015
"ALGN",2021-01-14,546.51001,561.119995,543.01001,554.640015,304700,554.640015
"ALGN",2021-01-15,553.190002,569.659973,548,567.22998,551700,567.22998
"ALGN",2021-01-19,574.719971,574.719971,545.080017,557.409973,606900,557.409973
"ALGN",2021-01-20,568.840027,575.919983,560.070007,564.369995,401800,564.369995
"ALGN",2021-01-21,563.969971,565.320007,543.320007,543.809998,402600,543.809998
"ALGN",2021-01-22,546.849976,546.849976,531.169983,534.080017,690700,534.080017
"ALGN",2021-01-25,533.390015,540.73999,510.109985,539.469971,568800,539.469971
"ALGN",2021-01-26,541.27002,545,530.059998,535.099976,469400,535.099976
"ALGN",2021-01-27,519.330017,527.690002,507.769989,509.640015,859100,509.640015
"ALGN",2021-01-28,509.359985,547.570007,509.359985,536.580017,681500,536.580017
"ALGN",2021-01-29,525.159973,530.539978,517.539978,525.380005,686200,525.380005
"ALGN",2021-02-01,539.929993,544.75,527.02002,543.049988,538500,543.049988
"ALGN",2021-02-02,551.780029,567.830017,548.01001,557.77002,790900,557.77002
"ALGN",2021-02-03,557.48999,557.48999,541.169983,546.179993,756300,546.179993
"ALGN",2021-02-04,607.5,634.460022,600.950012,615.159973,1758800,615.159973
"ALGN",2021-02-05,622.090027,624.539978,614.01001,620.450012,656500,620.450012
"ALGN",2021-02-08,622.190002,630.039978,595.780029,602.440002,618300,602.440002
"ALGN",2021-02-09,601.390015,618.840027,601.390015,615,426900,615
"ALGN",2021-02-10,618.070007,618.070007,598.210022,605.780029,454100,605.780029
"ALGN",2021-02-11,611.77002,611.77002,591.150024,599,469200,599
"ALGN",2021-02-12,601.859985,609.98999,595.159973,609.580017,394900,609.580017
"ALGN",2021-02-16,612.690002,615.76001,604.070007,614.210022,404600,614.210022
"ALGN",2021-02-17,603.669983,611.960022,589,599.530029,398300,599.530029
"ALGN",2021-02-18,596.070007,600.090027,584.549988,594.98999,288100,594.98999
"ALGN",2021-02-19,595.909973,601.929993,593.150024,599.25,372400,599.25
"ALGN",2021-02-22,590.369995,596.890015,578.119995,579.539978,616200,579.539978
"ALGN",2021-02-23,563.280029,572.609985,552.909973,567.809998,816200,567.809998
"ALGN",2021-02-24,560.130005,577.440002,553.849976,573.26001,647500,573.26001
"ALGN",2021-02-25,578.869995,581.669983,547.72998,556.109985,810700,556.109985
"ALGN",2021-02-26,561.460022,574.97998,554.200012,567.109985,1105600,567.109985
"ALGN",2021-03-01,567.570007,577.799988,557.789978,565.109985,1015900,565.109985
"ALGN",2021-03-02,565,576.349976,558,563.210022,933300,563.210022
"ALGN",2021-03-03,559,560,525.77002,527.429993,832000,527.429993
"ALGN",2021-03-04,523.700012,535.210022,510,520.450012,1053500,520.450012
"ALGN",2021-03-05,525,539.940002,504.029999,536.460022,953400,536.460022
"ALGN",2021-03-08,532.280029,538.200012,494.450012,496.070007,945400,496.070007
"ALGN",2021-03-09,511.160004,527.02002,511.160004,515.869995,933600,515.869995
"ALGN",2021-03-10,527.440002,534.820007,509.209991,511.790009,661300,511.790009
"ALGN",2021-03-11,529.309998,544.919983,523.900024,544,668300,544
"ALGN",2021-03-12,538.650024,538.650024,529.22998,536.440002,428400,536.440002
"ALGN",2021-03-15,551.090027,560.179993,540.609985,558.849976,733600,558.849976
"ALGN",2021-03-16,566.409973,566.650024,539.109985,542.539978,482000,542.539978
"ALGN",2021-03-17,532.380005,546.48999,527.26001,540.01001,779700,540.01001
"ALGN",2021-03-18,527.909973,533.409973,512.25,514.359985,1008600,514.359985
"ALGN",2021-03-19,520.969971,533.809998,513.02002,529.460022,1012500,529.460022
"ALGN",2021-03-22,532.340027,538.909973,528.190002,530.599976,639600,530.599976
"ALGN",2021-03-23,528.320007,531.929993,517.179993,518.880005,699200,518.880005
"ALGN",2021-03-24,521,522.48999,504.579987,506.170013,498900,506.170013
"ALGN",2021-03-25,502.059998,520.23999,498,517.869995,512600,517.869995
"ALGN",2021-03-26,518.809998,528.780029,511.970001,528.340027,547000,528.340027
"ALGN",2021-03-29,523.190002,526.789978,502.230011,516,522300,516
"ALGN",2021-03-30,516.219971,526.109985,511.130005,524.330017,518300,524.330017
"ALGN",2021-03-31,532,545.210022,529.25,541.530029,606000,541.530029
"ALGN",2021-04-01,546.23999,557.150024,544,545.049988,610000,545.049988
"ALGN",2021-04-05,550.330017,554.48999,544.51001,547.940002,366100,547.940002
"ALGN",2021-04-06,551.539978,563.960022,547.559998,553.840027,650200,553.840027
"ALGN",2021-04-07,556.01001,559.380005,545.950012,552.559998,453900,552.559998
"ALGN",2021-04-08,558.869995,577.919983,556.820007,575.75,826800,575.75
"ALGN",2021-04-09,576.52002,592.98999,575,592.559998,951200,592.559998
"ALGN",2021-04-12,593.590027,602.070007,585.659973,601.109985,524300,601.109985
"ALGN",2021-04-13,602.48999,608.02002,591.630005,595.630005,390800,595.630005
"ALGN",2021-04-14,595.700012,604.169983,589.26001,594.929993,395600,594.929993
"ALGN",2021-04-15,598.570007,608.200012,598.570007,606.22998,443800,606.22998
"ALGN",2021-04-16,607.140015,608,599.02002,606.330017,428800,606.330017
"ALGN",2021-04-19,608.309998,610,593.669983,603.719971,406300,603.719971
"ALGN",2021-04-20,603.849976,604.5,588.289978,596.200012,371600,596.200012
"ALGN",2021-04-21,595.630005,618,593.179993,616.080017,400900,616.080017
"ALGN",2021-04-22,621.52002,627.530029,609.75,615.309998,447500,615.309998
"ALGN",2021-04-23,616,624.789978,616,620.119995,537900,620.119995
"ALGN",2021-04-26,620.97998,625.609985,613.549988,617.23999,418900,617.23999
"ALGN",2021-04-27,620.409973,625.789978,613.72998,621.76001,365400,621.76001
"ALGN",2021-04-28,616.119995,623.109985,611.650024,613.359985,549200,613.359985
"ALGN",2021-04-29,643.159973,647.200012,590.440002,604.340027,1263500,604.340027
"ALGN",2021-04-30,597.76001,615.75,594.219971,595.530029,660200,595.530029
"ALGN",2021-05-03,599.140015,610.119995,595.599976,599.77002,633200,599.77002
"ALGN",2021-05-04,594.179993,594.179993,560.5,582.150024,1100900,582.150024
"ALGN",2021-05-05,587,587.23999,568.26001,569.25,609000,569.25
"ALGN",2021-05-06,568.690002,584.950012,560.580017,584.719971,705600,584.719971
"ALGN",2021-05-07,586.080017,604,586.080017,598.340027,694700,598.340027
"ALGN",2021-05-10,596.159973,596.159973,551.280029,554.5,866500,554.5
"ALGN",2021-05-11,539.909973,570.119995,536.22998,566.26001,824000,566.26001
"ALGN",2021-05-12,553.419983,557.580017,547.51001,548.640015,651000,548.640015
"ALGN",2021-05-13,557.580017,559.950012,546.02002,553.619995,421000,553.619995
"ALGN",2021-05-14,562.549988,572.5,555.97998,569.039978,367000,569.039978
"ALGN",2021-05-17,562.099976,567.530029,554.969971,559.52002,369700,559.52002
"ALGN",2021-05-18,567.099976,582.710022,565.51001,569.5,653300,569.5
"ALGN",2021-05-19,557.419983,572.309998,551.01001,571.48999,502400,571.48999
"ALGN",2021-05-20,575,590.530029,574.190002,587.900024,444500,587.900024
"ALGN",2021-05-21,594.099976,601.390015,587.809998,591.75,544000,591.75
"ALGN",2021-05-24,596.900024,611,594.099976,604.450012,514200,604.450012
"ALGN",2021-05-25,605.150024,610.48999,592.950012,594.950012,449100,594.950012
"ALGN",2021-05-26,593,599.48999,591.26001,596.690002,455800,596.690002
"ALGN",2021-05-27,595,603.169983,586.51001,599.77002,878200,599.77002
"ALGN",2021-05-28,605,609.140015,589.72998,590.150024,358400,590.150024
"ALGN",2021-06-01,592.440002,596.76001,585.109985,593.47998,611900,593.47998
"ALGN",2021-06-02,592.820007,592.820007,573.849976,575.48999,463000,575.48999
"ALGN",2021-06-03,567.280029,576.559998,563.869995,566.960022,517800,566.960022
"ALGN",2021-06-04,574.450012,586,572.530029,582.349976,511300,582.349976
"ALGN",2021-06-07,579.440002,585.950012,575.289978,580.27002,438300,580.27002
"ALGN",2021-06-08,582.080017,591.940002,579.150024,589.76001,337000,589.76001
"ALGN",2021-06-09,593,595.650024,583.669983,585.5,326400,585.5
"ALGN",2021-06-10,585.809998,612.559998,582.549988,612.150024,585400,612.150024
"ALGN",2021-06-11,611.98999,615.799988,605.640015,611.539978,345000,611.539978
"ALGN",2021-06-14,613.590027,614.950012,601.200012,605.77002,381700,605.77002
"ALGN",2021-06-15,609.380005,613.150024,596.119995,600.049988,398500,600.049988
"ALGN",2021-06-16,599.200012,601.880005,587.590027,599.599976,414400,599.599976
"ALGN",2021-06-17,596.799988,616.659973,595.820007,613.330017,6e+05,613.330017
"ALGN",2021-06-18,609.780029,617.109985,599.340027,601.640015,993800,601.640015
"ALGN",2021-06-21,604.940002,615.179993,597.840027,611.539978,549400,611.539978
"ALGN",2021-06-22,611.51001,611.809998,598.109985,604.710022,618200,604.710022
"ALGN",2021-06-23,602.390015,608.609985,596,605.820007,574900,605.820007
"ALGN",2021-06-24,609.640015,627.440002,608,617.390015,837500,617.390015
"ALGN",2021-06-25,623,625.650024,607.320007,614.97998,2123200,614.97998
"ALGN",2021-06-28,618.450012,629.349976,614.429993,621.52002,574900,621.52002
"ALGN",2021-06-29,623,624.549988,611.570007,612.799988,427500,612.799988
"ALGN",2021-06-30,608.72998,616.080017,603.539978,611,508800,611
"ALGN",2021-07-01,609.309998,619.039978,607.590027,618.960022,658800,618.960022
"ALGN",2021-07-02,624.809998,625.359985,615.359985,624.169983,372800,624.169983
"ALGN",2021-07-06,624.039978,626.960022,592.130005,604.669983,846800,604.669983
"ALGN",2021-07-07,609.01001,617.27002,604.01001,612.219971,370800,612.219971
"ALGN",2021-07-08,604.929993,620.530029,598.02002,616.789978,410600,616.789978
"ALGN",2021-07-09,621.919983,638.47998,613.710022,627.190002,610100,627.190002
"ALGN",2021-07-12,631.700012,644.890015,623.75,642.859985,573800,642.859985
"ALGN",2021-07-13,642.859985,647.830017,636.450012,642.400024,400300,642.400024
"ALGN",2021-07-14,647.5,653.859985,631.72998,635.090027,488200,635.090027
"ALGN",2021-07-15,633.890015,638.27002,609.359985,621.700012,701000,621.700012
"ALGN",2021-07-16,623.390015,628.349976,613.52002,616.119995,472700,616.119995
"ALGN",2021-07-19,609.369995,609.369995,591.559998,595.559998,679700,595.559998
"ALGN",2021-07-20,596.039978,620.369995,589.23999,615.710022,663900,615.710022
"ALGN",2021-07-21,615.530029,621.469971,603.5,619.650024,627300,619.650024
"ALGN",2021-07-22,623.390015,628.98999,615.919983,627.919983,358800,627.919983
"ALGN",2021-07-23,624.900024,640.409973,624.900024,638.280029,412200,638.280029
"ALGN",2021-07-26,636.01001,636.619995,623.559998,635.580017,577900,635.580017
