"symbol","date","open","high","low","close","volume","adjusted"
"BR",2021-04-28,161.490005,161.800003,160.520004,161.009995,308300,157.81221
"BR",2021-04-29,161.679993,162.190002,160.550003,161.460007,276300,158.253281
"BR",2021-04-30,160.479996,160.75,157.190002,158.630005,610900,155.479477
"BR",2021-05-03,158.880005,160.770004,158.179993,159.979996,756600,156.802643
"BR",2021-05-04,158.339996,163.830002,158.339996,162.860001,839000,159.625458
"BR",2021-05-05,164.410004,165.240005,162.229996,165.039993,512500,161.762146
"BR",2021-05-06,165.330002,166.320007,163.559998,164.899994,519800,161.624954
"BR",2021-05-07,165.259995,165.979996,163.770004,164.199997,331700,160.938843
"BR",2021-05-10,164.759995,167.539993,162.110001,165.630005,369700,162.340469
"BR",2021-05-11,165.089996,165.729996,162.279999,163.789993,391300,160.536972
"BR",2021-05-12,162.580002,162.720001,158.990005,159.020004,446700,155.86174
"BR",2021-05-13,160.059998,161.929993,159.419998,160.970001,354500,157.772995
"BR",2021-05-14,162.309998,163.990005,161.759995,163.179993,344600,159.939087
"BR",2021-05-17,162.779999,163.160004,161.179993,162.240005,473100,159.017792
"BR",2021-05-18,161.990005,162,160.229996,160.539993,851600,157.351532
"BR",2021-05-19,159.240005,159.470001,157.059998,159.419998,412400,156.253769
"BR",2021-05-20,159.759995,161.669998,158.690002,160.220001,503300,157.037888
"BR",2021-05-21,160.669998,161.639999,158.369995,159.270004,595400,156.106766
"BR",2021-05-24,160.309998,161.279999,159.410004,159.449997,332400,156.283188
"BR",2021-05-25,159.509995,160,158.660004,159.169998,413600,156.008759
"BR",2021-05-26,158.759995,159.350006,157.360001,158.759995,503400,155.606888
"BR",2021-05-27,158.770004,160.899994,158.470001,159.639999,967900,156.469406
"BR",2021-05-28,160.460007,160.720001,159.419998,159.479996,630200,156.312576
"BR",2021-06-01,160.210007,160.289993,157.380005,158.160004,545000,155.018814
"BR",2021-06-02,158.380005,159.449997,158.380005,158.509995,415900,155.361832
"BR",2021-06-03,157.679993,158.960007,156.669998,158.600006,463000,155.450058
"BR",2021-06-04,159.25,160.949997,159.25,160.869995,298000,157.674988
"BR",2021-06-07,161.380005,161.380005,157.550003,158.279999,286700,155.136429
"BR",2021-06-08,159.050003,159.190002,157.630005,158.229996,632100,155.087418
"BR",2021-06-09,158.919998,160,158.270004,159.070007,395500,155.910736
"BR",2021-06-10,159.630005,161.490005,159.630005,161.369995,665000,158.165039
"BR",2021-06-11,161.470001,162.770004,161.470001,162.759995,366700,159.527435
"BR",2021-06-14,162.550003,162.740005,159.860001,160.960007,644100,158.322525
"BR",2021-06-15,160.990005,161.899994,160.100006,161.630005,320200,158.981552
"BR",2021-06-16,162.270004,162.470001,159.139999,160.220001,398200,157.594635
"BR",2021-06-17,159.800003,160.960007,159.289993,159.720001,456600,157.102844
"BR",2021-06-18,158.270004,159.259995,157.440002,158.330002,875000,155.735626
"BR",2021-06-21,159.039993,161.369995,158.339996,160.889999,399900,158.253662
"BR",2021-06-22,160.839996,161.789993,160.520004,161.070007,321900,158.430725
"BR",2021-06-23,161.669998,161.669998,159.690002,159.699997,345500,157.083176
"BR",2021-06-24,160.440002,160.710007,159.100006,160.320007,334100,157.693024
"BR",2021-06-25,160.710007,160.889999,159.990005,160.690002,715200,158.056961
"BR",2021-06-28,161.25,161.309998,159.389999,160.809998,399900,158.174988
"BR",2021-06-29,161.029999,162.410004,159.910004,162.050003,448000,159.394669
"BR",2021-06-30,162.039993,162.039993,160.929993,161.529999,598300,158.883179
"BR",2021-07-01,161.820007,163.190002,161.380005,162.929993,304000,160.260239
"BR",2021-07-02,163.570007,164.690002,162.919998,164.410004,483600,161.715988
"BR",2021-07-06,164.899994,164.910004,162.889999,164.660004,367400,161.961899
"BR",2021-07-07,165,168.369995,164.610001,168.179993,545800,165.42421
"BR",2021-07-08,167.039993,168.589996,165.949997,166.449997,470700,163.722565
"BR",2021-07-09,167.339996,168.960007,166.539993,168.699997,765000,165.935699
"BR",2021-07-12,168.080002,169.020004,168.059998,168.460007,559200,165.699646
"BR",2021-07-13,168.460007,169.979996,167.990005,168.259995,678400,165.502884
"BR",2021-07-14,168.929993,170.229996,168.119995,170.050003,443400,167.263565
"BR",2021-07-15,169.449997,171.149994,169.449997,170.660004,320500,167.863586
"BR",2021-07-16,171.259995,171.270004,169.300003,169.869995,511500,167.086517
"BR",2021-07-19,168.429993,169.160004,165.259995,166.619995,707400,163.889771
"BR",2021-07-20,167.360001,170.389999,166.880005,169.149994,411200,166.378311
"BR",2021-07-21,169.419998,169.979996,168.570007,169.699997,257000,166.919312
"BR",2021-07-22,169.789993,170.729996,169.529999,170.539993,302300,167.745544
"BR",2021-07-23,171.949997,172.580002,171.029999,172.490005,216600,169.663589
"BR",2021-07-26,171.850006,172.539993,170.889999,172.369995,209900,169.545563
"BR",2021-07-27,172.369995,172.619995,170.330002,171.889999,333200,169.073425
"BR",2021-07-28,172.020004,172.020004,170.050003,170.839996,376900,168.040634
"BR",2021-07-29,171.75,172.809998,171.570007,172.470001,501300,169.643921
"BR",2021-07-30,172.270004,173.619995,172.110001,173.490005,403900,170.647217
"BR",2021-08-02,174.5,175.210007,173.220001,173.389999,286900,170.548843
"BR",2021-08-03,173.669998,175.220001,172.179993,174.990005,385600,172.12265
"BR",2021-08-04,174.589996,174.889999,172.979996,174.039993,301200,171.188202
"BR",2021-08-05,174.380005,174.789993,173.240005,173.929993,255800,171.079987
"BR",2021-08-06,173.720001,174.550003,173,173.369995,318100,170.529175
"BR",2021-08-09,173.179993,173.729996,172.490005,172.929993,316100,170.096375
"BR",2021-08-10,172.740005,173.190002,170.830002,171.529999,359300,168.71933
"BR",2021-08-11,171.940002,173.25,171.479996,172.119995,370200,169.299637
"BR",2021-08-12,171.179993,173.720001,169.179993,172.899994,619100,170.066864
"BR",2021-08-13,173.710007,175.820007,173.449997,174.360001,523400,171.502945
"BR",2021-08-16,173.970001,177.160004,172.839996,176.990005,441300,174.089874
"BR",2021-08-17,176.350006,177,175.179993,176.800003,300100,173.902969
"BR",2021-08-18,176.729996,177.070007,173.570007,173.669998,375000,170.824265
"BR",2021-08-19,172.679993,174.610001,172.679993,173.729996,451200,170.88327
"BR",2021-08-20,174,175.240005,172.850006,174.539993,579800,171.679993
"BR",2021-08-23,174.960007,174.960007,172.440002,172.5,421700,169.673431
"BR",2021-08-24,172.559998,172.820007,171.149994,171.270004,455700,168.463593
"BR",2021-08-25,171.130005,171.690002,170.199997,170.979996,551400,168.178329
"BR",2021-08-26,170.919998,170.929993,168.919998,169.809998,326200,167.027496
"BR",2021-08-27,170.350006,172.009995,170,171.580002,335100,168.768509
"BR",2021-08-30,171.330002,172.600006,171.330002,172.330002,250500,169.506226
"BR",2021-08-31,172.850006,173.320007,171.5,172.220001,496000,169.398026
"BR",2021-09-01,172.779999,172.779999,170.639999,171.429993,325000,168.620956
"BR",2021-09-02,171.649994,172.089996,170.289993,171.020004,319100,168.217667
"BR",2021-09-03,170.779999,171.809998,170.529999,170.75,329800,167.952103
"BR",2021-09-07,170.889999,171.009995,168.5,168.779999,322400,166.014374
"BR",2021-09-08,168.699997,171.860001,168.699997,171.809998,423600,168.994736
"BR",2021-09-09,171.649994,172.850006,170.720001,170.729996,778300,167.932434
"BR",2021-09-10,171.669998,172.039993,169.399994,169.960007,374500,167.175049
"BR",2021-09-13,170.610001,171.5,169.429993,170.309998,463700,167.519318
"BR",2021-09-14,170.619995,170.619995,168.759995,169.669998,456200,167.519318
"BR",2021-09-15,169.699997,170.470001,168.800003,169.649994,250700,167.499557
"BR",2021-09-16,170.009995,170.320007,168.600006,168.660004,318600,166.52211
"BR",2021-09-17,168.139999,169.399994,166.330002,166.559998,720700,164.448746
"BR",2021-09-20,164.839996,166.270004,162.669998,164.440002,494100,162.355606
"BR",2021-09-21,165.279999,165.300003,162.25,162.509995,461100,160.450073
"BR",2021-09-22,163.029999,164.399994,161.5,164.100006,630400,162.019913
"BR",2021-09-23,164.960007,168.610001,164.960007,168.070007,544600,165.939606
"BR",2021-09-24,167.679993,169.309998,166.820007,169.009995,421700,166.867676
"BR",2021-09-27,168.550003,168.960007,167.339996,168.240005,330700,166.107437
"BR",2021-09-28,167.110001,167.770004,165.779999,166.839996,716200,164.725174
"BR",2021-09-29,167.570007,169.789993,166.570007,168.399994,540700,166.265411
"BR",2021-09-30,169.190002,170.259995,166.589996,166.639999,751300,164.527725
"BR",2021-10-01,167.479996,167.490005,164.169998,166.020004,636000,163.915588
"BR",2021-10-04,164.830002,165.960007,161.389999,162.550003,687400,160.489578
"BR",2021-10-05,163.020004,164.839996,161.089996,164.440002,577200,162.355606
"BR",2021-10-06,163.009995,167.050003,163.009995,166.979996,643100,164.863419
"BR",2021-10-07,167.809998,168.919998,167.259995,168.899994,594400,166.759064
"BR",2021-10-08,168.990005,169.509995,168.419998,168.940002,353900,166.798569
"BR",2021-10-11,168.660004,169.479996,167.610001,168.330002,552900,166.196289
"BR",2021-10-12,169.220001,171.429993,168.339996,170.710007,446200,168.546143
"BR",2021-10-13,171.070007,172.779999,169.759995,172.669998,362200,170.481277
"BR",2021-10-14,173.990005,178.190002,173.509995,178.050003,670100,175.793076
"BR",2021-10-15,178.770004,180.059998,178.479996,179.940002,485700,177.659134
"BR",2021-10-18,179.5,179.5,177.580002,178.020004,739500,175.763474
"BR",2021-10-19,178.410004,180.929993,177.440002,180.929993,499000,178.636581
"BR",2021-10-20,181.330002,183.240005,180.600006,181.300003,577700,179.001877
"BR",2021-10-21,181.089996,182.960007,180.479996,182.320007,388900,180.008972
"BR",2021-10-22,182.350006,184.850006,181.910004,184.070007,382400,181.736801
"BR",2021-10-25,183.639999,184.660004,183.080002,183.429993,369600,181.104889
"BR",2021-10-26,184.070007,184.990005,181.779999,184.229996,465200,181.894745
"BR",2021-10-27,184.460007,185,180.539993,181.300003,547100,179.001877
"BR",2021-10-28,181.899994,182.399994,178.779999,179.619995,509900,177.343185
"BR",2021-10-29,179.279999,180.410004,176.660004,178.410004,789800,176.148529
"BR",2021-11-01,178.910004,179.529999,175.020004,177.240005,600800,174.993362
"BR",2021-11-02,178,179.710007,177.25,178.869995,743600,176.602692
"BR",2021-11-03,175.410004,176.410004,166.509995,169.869995,892900,167.716766
"BR",2021-11-04,170.300003,172.639999,170.139999,171.369995,618200,169.197754
"BR",2021-11-05,172.080002,174.080002,171.509995,173.809998,539200,171.606842
"BR",2021-11-08,174.720001,175.490005,173.229996,175.070007,658400,172.850876
"BR",2021-11-09,175.169998,178.570007,174.110001,178.360001,491200,176.099167
"BR",2021-11-10,178.070007,179.970001,177.440002,178.830002,504600,176.563202
"BR",2021-11-11,178.779999,178.779999,175.699997,175.789993,347100,173.561722
"BR",2021-11-12,175.789993,177.529999,175.229996,176.610001,626500,174.371353
"BR",2021-11-15,177.350006,178.229996,176.479996,177.080002,304600,174.835373
"BR",2021-11-16,176.899994,178.690002,175.880005,177.119995,274300,174.874878
"BR",2021-11-17,176.75,176.839996,173.600006,174.649994,343600,172.436172
"BR",2021-11-18,174.649994,174.649994,172.559998,173,319100,170.807098
"BR",2021-11-19,173.449997,174.820007,172.809998,174.130005,538100,171.922791
"BR",2021-11-22,174.039993,176.050003,174.039993,174.070007,588100,171.863541
"BR",2021-11-23,174.100006,174.100006,171.520004,173.059998,423500,170.866348
"BR",2021-11-24,171.809998,173.880005,171.649994,173.130005,722500,170.935471
"BR",2021-11-26,171.770004,174.119995,171.110001,171.570007,380800,169.395218
"BR",2021-11-29,173.080002,176.039993,171.539993,175.509995,603200,173.285278
"BR",2021-11-30,174.949997,175.100006,168.110001,168.570007,1290700,166.433258
"BR",2021-12-01,170.179993,171.660004,167.389999,168.25,820600,166.11731
"BR",2021-12-02,168.699997,175.070007,168.25,173.5,618400,171.300751
"BR",2021-12-03,174.389999,174.889999,169.679993,170.669998,590600,168.506638
"BR",2021-12-06,171.990005,172.809998,169.360001,171.710007,456500,169.533463
"BR",2021-12-07,173.270004,175.949997,172.449997,174.220001,451500,172.011642
"BR",2021-12-08,173.910004,175.330002,173.220001,173.970001,601200,171.764801
"BR",2021-12-09,173.970001,175.649994,173.970001,175.449997,381000,173.226028
"BR",2021-12-10,176.850006,178.75,176.440002,178.360001,493300,176.099167
"BR",2021-12-13,177.960007,180.169998,177.279999,179.380005,550900,177.106232
"BR",2021-12-14,177.970001,179.5,176.100006,177.479996,545200,175.857727
"BR",2021-12-15,177.669998,178.710007,175.160004,178.020004,601900,176.392822
"BR",2021-12-16,178.759995,180.690002,178.75,180.059998,992200,178.414169
"BR",2021-12-17,178.820007,179.399994,175.289993,175.789993,969600,174.183182
"BR",2021-12-20,173.910004,174.830002,170.339996,171.860001,479800,170.289108
"BR",2021-12-21,173.229996,175.070007,172.25,175.070007,658800,173.469772
"BR",2021-12-22,175.580002,179.300003,175.529999,179.270004,408400,177.631393
"BR",2021-12-23,179.570007,181.259995,179.440002,180.289993,280500,178.642044
"BR",2021-12-27,182.130005,184.580002,180.619995,184.479996,272000,182.793762
"BR",2021-12-28,185.179993,185.399994,183.210007,183.960007,347700,182.278519
"BR",2021-12-29,183.830002,184.630005,182.509995,183.210007,463400,181.53537
"BR",2021-12-30,183.910004,184.190002,182.130005,182.869995,280100,181.198456
"BR",2021-12-31,182.710007,183.820007,182.589996,182.820007,261300,181.148941
"BR",2022-01-03,183.029999,183.339996,179.020004,180.949997,478100,179.296021
"BR",2022-01-04,180.580002,181.679993,179.240005,180.570007,641300,178.919495
"BR",2022-01-05,180.449997,181.169998,177.410004,177.460007,402900,175.837921
"BR",2022-01-06,176.419998,177.710007,172.380005,174.270004,548800,172.677078
"BR",2022-01-07,173.630005,173.660004,171.470001,171.5,428900,169.932404
"BR",2022-01-10,169.369995,169.710007,166.279999,168.25,491400,166.712112
"BR",2022-01-11,167.800003,168.779999,165.190002,167.940002,752400,166.404953
"BR",2022-01-12,168.759995,170.75,167.529999,170.440002,754600,168.882095
"BR",2022-01-13,170.860001,171.350006,162.970001,163.479996,779800,161.985703
"BR",2022-01-14,162.110001,162.589996,158.240005,160.059998,650200,158.596954
"BR",2022-01-18,157.970001,160.020004,156.419998,159.919998,697600,158.458252
"BR",2022-01-19,160.759995,163.720001,159.589996,160.479996,586700,159.013123
"BR",2022-01-20,160,162.119995,158.699997,159.789993,1030100,158.329422
"BR",2022-01-21,160.350006,161.839996,156.5,156.600006,755500,155.168594
"BR",2022-01-24,154.309998,158.190002,151.779999,157.919998,776000,156.476532
"BR",2022-01-25,155.059998,157.320007,151.960007,152.009995,863900,150.620544
"BR",2022-01-26,153.470001,154.710007,148.240005,148.970001,808700,147.608337
"BR",2022-01-27,150.600006,152.660004,149.149994,150.149994,837600,148.777542
"BR",2022-01-28,150.440002,154.25,148.940002,154.149994,828500,152.740997
"BR",2022-01-31,153.860001,159.380005,153.860001,159.220001,942800,157.764648
"BR",2022-02-01,157.789993,158.070007,149.630005,153.330002,1124500,151.928482
"BR",2022-02-02,153.869995,154.880005,151.759995,154.300003,1044700,152.889618
"BR",2022-02-03,152.580002,154.5,148.149994,148.389999,626800,147.03363
"BR",2022-02-04,147.889999,151.279999,147.110001,149.880005,620900,148.510025
"BR",2022-02-07,149.600006,149.630005,147.649994,147.869995,534100,146.518387
"BR",2022-02-08,147.5,149.690002,146.699997,148.800003,615900,147.439896
"BR",2022-02-09,150.830002,151.759995,150.080002,150.860001,403700,149.481064
"BR",2022-02-10,147.940002,150.020004,145.729996,146.449997,558300,145.111374
"BR",2022-02-11,147.100006,148.229996,143.820007,144.619995,924100,143.298096
"BR",2022-02-14,143.770004,146.779999,143.009995,144.839996,756200,143.516083
"BR",2022-02-15,147.009995,148.300003,145.619995,147.630005,1008700,146.280594
"BR",2022-02-16,146.809998,148.139999,143.929993,145.970001,655300,144.635757
"BR",2022-02-17,144.940002,145.020004,141.899994,142.380005,498000,141.078568
"BR",2022-02-18,142.460007,143.259995,140.850006,142.380005,1409900,141.078568
"BR",2022-02-22,141.779999,143.589996,140.179993,142.880005,705500,141.574005
"BR",2022-02-23,143.710007,144.690002,140.759995,140.889999,683600,139.602203
"BR",2022-02-24,138.320007,145.559998,137.580002,145.289993,820100,143.96196
"BR",2022-02-25,145.509995,148.320007,144.669998,148.25,693500,146.894928
"BR",2022-02-28,146.479996,147.520004,144.600006,146.210007,760300,144.873581
"BR",2022-03-01,145.839996,147.050003,144.990005,146.300003,579900,144.962753
