"symbol","date","open","high","low","close","volume","adjusted"
"NCLH",2020-07-28,13.34,14.52,13.32,14.22,43793700,14.22
"NCLH",2020-07-29,14.22,14.49,13.81,14.34,27760900,14.34
"NCLH",2020-07-30,13.97,14.32,13.78,14.17,24503400,14.17
"NCLH",2020-07-31,13.99,14.1,13.46,13.64,28346300,13.64
"NCLH",2020-08-03,13.31,13.38,12.56,13.06,40525300,13.06
"NCLH",2020-08-04,13.04,13.91,13.01,13.56,28813100,13.56
"NCLH",2020-08-05,13.97,14.2,13.43,13.72,33478900,13.72
"NCLH",2020-08-06,13.34,14.42,13.27,14.24,39913200,14.24
"NCLH",2020-08-07,14.09,14.18,13.47,13.99,31073500,13.99
"NCLH",2020-08-10,13.99,15.38,13.98,15.13,44266500,15.13
"NCLH",2020-08-11,16.469999,16.58,15.55,15.64,54538400,15.64
"NCLH",2020-08-12,16.110001,16.190001,14.72,15.23,36454400,15.23
"NCLH",2020-08-13,14.95,15.91,14.93,15.34,24496700,15.34
"NCLH",2020-08-14,15.1,15.89,14.91,15.75,24861700,15.75
"NCLH",2020-08-17,15.85,15.86,15.04,15.39,20503000,15.39
"NCLH",2020-08-18,15.39,15.54,15.05,15.2,14170900,15.2
"NCLH",2020-08-19,15.21,16.370001,15.06,15.68,30456700,15.68
"NCLH",2020-08-20,15.41,15.7,15.09,15.58,17282200,15.58
"NCLH",2020-08-21,15.5,15.87,15.45,15.56,15940000,15.56
"NCLH",2020-08-24,15.94,17.209999,15.41,16.74,48402000,16.74
"NCLH",2020-08-25,16.84,17.1,16.190001,16.75,26657600,16.75
"NCLH",2020-08-26,16.57,16.639999,15.45,15.72,35788000,15.72
"NCLH",2020-08-27,16.219999,17.299999,16.139999,16.65,45413800,16.65
"NCLH",2020-08-28,17.16,17.780001,16.860001,17.690001,43052900,17.690001
"NCLH",2020-08-31,17.67,17.84,17.07,17.110001,28361300,17.110001
"NCLH",2020-09-01,16.75,17.27,16.440001,16.940001,20325500,16.940001
"NCLH",2020-09-02,16.93,17.09,16.379999,16.99,19333600,16.99
"NCLH",2020-09-03,17.66,19.200001,17.299999,17.629999,57080500,17.629999
"NCLH",2020-09-04,18.27,18.610001,17.49,18.42,45101900,18.42
"NCLH",2020-09-08,18.02,18.85,17.99,18.530001,30798300,18.530001
"NCLH",2020-09-09,18.299999,18.48,17.48,17.93,23650100,17.93
"NCLH",2020-09-10,18.049999,19.16,17.92,17.93,32735800,17.93
"NCLH",2020-09-11,18.120001,18.120001,17.18,17.51,21562200,17.51
"NCLH",2020-09-14,17.82,17.969999,17.42,17.790001,18679800,17.790001
"NCLH",2020-09-15,17.77,17.84,16.780001,16.969999,30618100,16.969999
"NCLH",2020-09-16,17.110001,17.860001,16.719999,17.5,26509600,17.5
"NCLH",2020-09-17,16.98,17.559999,16.709999,17.26,21691000,17.26
"NCLH",2020-09-18,17.01,17.299999,15.95,16.25,34292600,16.25
"NCLH",2020-09-21,15.46,15.72,14.73,14.99,32507000,14.99
"NCLH",2020-09-22,15.05,15.59,14.92,15.33,21506800,15.33
"NCLH",2020-09-23,15.5,16.17,15.13,15.17,21249100,15.17
"NCLH",2020-09-24,14.95,15,14.15,14.63,23348900,14.63
"NCLH",2020-09-25,15.82,16.639999,15.57,16.629999,48616000,16.629999
"NCLH",2020-09-28,16.92,16.950001,16.01,16.68,28960900,16.68
"NCLH",2020-09-29,16.6,16.85,16.280001,16.559999,14090800,16.559999
"NCLH",2020-09-30,17.09,18.23,16.940001,17.110001,38387400,17.110001
"NCLH",2020-10-01,17.4,17.41,16.74,17.34,22208800,17.34
"NCLH",2020-10-02,16.280001,17.43,16.15,17.27,22461000,17.27
"NCLH",2020-10-05,17.059999,17.360001,16.690001,16.99,15330900,16.99
"NCLH",2020-10-06,17.219999,18.24,17.09,17.23,31714300,17.23
"NCLH",2020-10-07,17.75,18.16,17.459999,18.01,16898500,18.01
"NCLH",2020-10-08,18.32,18.440001,17.700001,18.200001,17459900,18.200001
"NCLH",2020-10-09,18.299999,18.91,17.98,18.73,24449200,18.73
"NCLH",2020-10-12,18.52,18.620001,18.07,18.08,15878600,18.08
"NCLH",2020-10-13,17.299999,17.370001,16.42,16.59,28061700,16.59
"NCLH",2020-10-14,16.68,17.16,16.360001,16.48,19207800,16.48
"NCLH",2020-10-15,16.18,16.24,15.65,16.1,19229800,16.1
"NCLH",2020-10-16,16.280001,16.440001,15.9,16.200001,13688700,16.200001
"NCLH",2020-10-19,16.32,16.76,16.18,16.450001,12919300,16.450001
"NCLH",2020-10-20,16.66,17.16,16.469999,17.08,15685600,17.08
"NCLH",2020-10-21,17,17.139999,16.73,16.99,11362300,16.99
"NCLH",2020-10-22,17.1,17.75,17.02,17.709999,16692200,17.709999
"NCLH",2020-10-23,17.719999,18.41,17.450001,18.35,21988100,18.35
"NCLH",2020-10-26,17.74,17.74,16.35,16.799999,27651100,16.799999
"NCLH",2020-10-27,16.85,17.07,16.51,16.530001,12990900,16.530001
"NCLH",2020-10-28,15.84,16.030001,15,15.03,26446200,15.03
"NCLH",2020-10-29,15.05,15.85,14.77,15.77,19523900,15.77
"NCLH",2020-10-30,15.49,17.07,15.3,16.629999,41916000,16.629999
"NCLH",2020-11-02,16.059999,16.219999,15.29,16.17,25069900,16.17
"NCLH",2020-11-03,16.200001,16.73,16.120001,16.549999,15148300,16.549999
"NCLH",2020-11-04,16.5,16.73,16.120001,16.16,13519800,16.16
"NCLH",2020-11-05,16.4,17.309999,16.4,17.25,17527400,17.25
"NCLH",2020-11-06,17.07,17.299999,16.65,16.969999,14037000,16.969999
"NCLH",2020-11-09,21.02,23.049999,20.360001,21.51,75069900,21.51
"NCLH",2020-11-10,20.799999,21.129999,19.379999,20.120001,37843700,20.120001
"NCLH",2020-11-11,20.530001,20.84,19.35,19.52,26873800,19.52
"NCLH",2020-11-12,18.790001,19.870001,18.610001,18.85,26427400,18.85
"NCLH",2020-11-13,19.280001,20.27,19.16,20.059999,22894200,20.059999
"NCLH",2020-11-16,21.93,22.02,21.030001,21.309999,40909500,21.309999
"NCLH",2020-11-17,21.1,22.620001,20.77,22.059999,32189600,22.059999
"NCLH",2020-11-18,20.67,21.379999,20.41,20.459999,71591700,20.459999
"NCLH",2020-11-19,20.58,21.290001,20.49,21.02,36017800,21.02
"NCLH",2020-11-20,21.110001,21.27,19.940001,19.99,30469700,19.99
"NCLH",2020-11-23,20.620001,21.030001,20.07,20.889999,30434400,20.889999
"NCLH",2020-11-24,22.049999,22.639999,21.799999,22.549999,38926200,22.549999
"NCLH",2020-11-25,22.83,23.35,22,23.200001,30769200,23.200001
"NCLH",2020-11-27,23.469999,24.32,23.450001,23.68,17081000,23.68
"NCLH",2020-11-30,24.059999,24.200001,22.32,22.870001,25635800,22.870001
"NCLH",2020-12-01,23.549999,23.67,22.82,22.940001,20283500,22.940001
"NCLH",2020-12-02,22.4,23.5,21.82,23.4,20709000,23.4
"NCLH",2020-12-03,23.6,25.799999,23.549999,25.42,44080500,25.42
"NCLH",2020-12-04,26.110001,26.450001,25.17,26.299999,33185000,26.299999
"NCLH",2020-12-07,26.32,26.65,25.700001,26.5,23744800,26.5
"NCLH",2020-12-08,26.299999,28.17,26.25,28.15,27515500,28.15
"NCLH",2020-12-09,28.969999,28.98,26.200001,27.26,43942900,27.26
"NCLH",2020-12-10,26.65,27.540001,26.549999,27.440001,24569400,27.440001
"NCLH",2020-12-11,27.530001,27.870001,26.26,26.51,21177900,26.51
"NCLH",2020-12-14,27.219999,27.540001,25.219999,25.41,24467000,25.41
"NCLH",2020-12-15,24.93,25.51,23.790001,25.219999,33097200,25.219999
"NCLH",2020-12-16,25.23,25.74,24.68,25.459999,21274500,25.459999
"NCLH",2020-12-17,25.700001,25.700001,25.030001,25.41,12857000,25.41
"NCLH",2020-12-18,25.49,26.09,24.860001,25.18,20648600,25.18
"NCLH",2020-12-21,23.620001,24.9,23.450001,24.780001,22591400,24.780001
"NCLH",2020-12-22,24.85,24.870001,23.040001,23.08,24903000,23.08
"NCLH",2020-12-23,23.27,24.700001,23.16,24.5,18389600,24.5
"NCLH",2020-12-24,24.5,24.790001,24.120001,24.58,7884200,24.58
"NCLH",2020-12-28,25.15,25.940001,24.799999,25.530001,16371400,25.530001
"NCLH",2020-12-29,26,26.110001,25.049999,25.389999,12962800,25.389999
"NCLH",2020-12-30,25.379999,26.09,25.209999,25.639999,11142100,25.639999
"NCLH",2020-12-31,25.540001,25.68,24.43,25.43,14616900,25.43
"NCLH",2021-01-04,25.35,25.48,23.4,23.73,23243700,23.73
"NCLH",2021-01-05,23.41,24.67,23.360001,24.24,16639000,24.24
"NCLH",2021-01-06,24.15,24.950001,23.690001,24.33,16810600,24.33
"NCLH",2021-01-07,24.549999,25.43,24.549999,24.66,16079800,24.66
"NCLH",2021-01-08,24.969999,25.120001,23.92,24.43,13493300,24.43
"NCLH",2021-01-11,23.799999,24.540001,23.610001,24.139999,10546800,24.139999
"NCLH",2021-01-12,24.18,24.540001,23.93,24.52,9875400,24.52
"NCLH",2021-01-13,24.25,24.690001,23.82,24.610001,13711300,24.610001
"NCLH",2021-01-14,25,26.59,24.950001,26.42,24922200,26.42
"NCLH",2021-01-15,26.209999,26.969999,25.299999,25.379999,15861600,25.379999
"NCLH",2021-01-19,25.709999,25.799999,24.950001,25.299999,10777700,25.299999
"NCLH",2021-01-20,25.66,25.969999,24.870001,25.190001,10370400,25.190001
"NCLH",2021-01-21,25,25.450001,24.6,24.99,10701900,24.99
"NCLH",2021-01-22,24.5,24.799999,24.200001,24.59,11290100,24.59
"NCLH",2021-01-25,24.1,24.190001,23.120001,23.969999,17265300,23.969999
"NCLH",2021-01-26,24.15,24.42,23.5,23.66,9875100,23.66
"NCLH",2021-01-27,23,24.68,22.68,23.530001,19694100,23.530001
"NCLH",2021-01-28,24.43,25.200001,23.950001,24.16,17798900,24.16
"NCLH",2021-01-29,24.049999,24.35,22.27,22.65,26086000,22.65
"NCLH",2021-02-01,22.85,22.870001,21.879999,22.4,15020000,22.4
"NCLH",2021-02-02,22.799999,23.309999,22.360001,22.940001,12971900,22.940001
"NCLH",2021-02-03,22.969999,23.709999,22.719999,23.610001,18660300,23.610001
"NCLH",2021-02-04,23.860001,24.620001,23.77,24.4,14813000,24.4
"NCLH",2021-02-05,24.639999,25.450001,24.360001,24.719999,16755200,24.719999
"NCLH",2021-02-08,25,25.25,24.719999,25.01,11663200,25.01
"NCLH",2021-02-09,24.870001,24.98,23.92,24.08,15097900,24.08
"NCLH",2021-02-10,24.309999,24.959999,24.1,24.139999,13755200,24.139999
"NCLH",2021-02-11,24.15,24.48,23.52,23.77,12222700,23.77
"NCLH",2021-02-12,23.4,23.73,23.09,23.540001,13457300,23.540001
"NCLH",2021-02-16,23.959999,25.370001,23.73,25.190001,22739200,25.190001
"NCLH",2021-02-17,25,26.15,24.48,25.469999,21807400,25.469999
"NCLH",2021-02-18,25.110001,25.4,24.290001,25.200001,14967600,25.200001
"NCLH",2021-02-19,25.76,26.99,25.51,26.85,18737400,26.85
"NCLH",2021-02-22,27.48,29.790001,26.91,28.559999,34168800,28.559999
"NCLH",2021-02-23,28.66,28.93,26.25,28.620001,23482000,28.620001
"NCLH",2021-02-24,29.379999,31.58,29.139999,31.27,38000400,31.27
"NCLH",2021-02-25,32.52,32.66,28.33,28.76,41465800,28.76
"NCLH",2021-02-26,29.23,29.940001,28.32,29.559999,19787200,29.559999
"NCLH",2021-03-01,30.709999,31.360001,29.52,29.85,23206300,29.85
"NCLH",2021-03-02,30.629999,31.58,30.17,31.18,18481000,31.18
"NCLH",2021-03-03,32.02,33.77,31.77,33.130001,31491600,33.130001
"NCLH",2021-03-04,34.32,34.490002,30.959999,32.900002,38134000,32.900002
"NCLH",2021-03-05,30.27,30.370001,26.65,28.85,96474600,28.85
"NCLH",2021-03-08,29.51,30.200001,28.860001,29.309999,42512100,29.309999
"NCLH",2021-03-09,29.559999,30,28.309999,29.73,27304100,29.73
"NCLH",2021-03-10,29.879999,30.700001,29.16,29.540001,23061600,29.540001
"NCLH",2021-03-11,30.030001,30.469999,29.309999,30.26,20189400,30.26
"NCLH",2021-03-12,30.190001,31.040001,30.07,30.73,22756900,30.73
"NCLH",2021-03-15,31.23,32.400002,31.01,31.559999,26593300,31.559999
"NCLH",2021-03-16,31.620001,31.620001,29.77,30.1,20525500,30.1
"NCLH",2021-03-17,29.65,30.639999,29.4,30.5,16530300,30.5
"NCLH",2021-03-18,30.299999,30.59,28.9,28.950001,17505100,28.950001
"NCLH",2021-03-19,29.129999,29.76,27.85,29.700001,18995700,29.700001
"NCLH",2021-03-22,29.309999,29.59,28.209999,28.65,15198500,28.65
"NCLH",2021-03-23,28,28.43,26.459999,26.6,23673600,26.6
"NCLH",2021-03-24,27.290001,28.440001,24.02,25.309999,41737900,25.309999
"NCLH",2021-03-25,24.780001,26.280001,24.24,26.040001,26491600,26.040001
"NCLH",2021-03-26,26.299999,26.879999,25.73,26.82,19412600,26.82
"NCLH",2021-03-29,26.790001,26.85,25.790001,26.209999,12410500,26.209999
"NCLH",2021-03-30,26.17,27.42,26.07,27.200001,10326200,27.200001
"NCLH",2021-03-31,27.24,27.9,26.92,27.59,11892700,27.59
"NCLH",2021-04-01,27.889999,28.059999,27.32,27.719999,10164900,27.719999
"NCLH",2021-04-05,29.379999,30.1,29.01,29.709999,34092800,29.709999
"NCLH",2021-04-06,30.16,31.57,29.809999,31.08,33044800,31.08
"NCLH",2021-04-07,31.940001,33.080002,31.200001,31.309999,41981000,31.309999
"NCLH",2021-04-08,31.299999,31.299999,29.379999,30.620001,30056300,30.620001
"NCLH",2021-04-09,30.559999,31.059999,30.23,30.540001,20344400,30.540001
"NCLH",2021-04-12,30.030001,30.1,28.77,29.26,16969800,29.26
"NCLH",2021-04-13,28.299999,29.530001,28.17,29.41,16232200,29.41
"NCLH",2021-04-14,29.6,30.190001,29.07,29.209999,12044200,29.209999
"NCLH",2021-04-15,29.440001,29.440001,28.190001,28.280001,17208200,28.280001
"NCLH",2021-04-16,28.450001,28.92,28.02,28.32,12312700,28.32
"NCLH",2021-04-19,28.15,28.51,27.57,27.969999,12185400,27.969999
"NCLH",2021-04-20,27.530001,27.639999,25.790001,26.75,24449700,26.75
"NCLH",2021-04-21,27.16,29.540001,26.84,29.51,33281200,29.51
"NCLH",2021-04-22,29.309999,30.35,28.809999,29,24943700,29
"NCLH",2021-04-23,29.33,30.02,28.77,29.809999,15296600,29.809999
"NCLH",2021-04-26,30.389999,31.18,30.17,30.219999,14880100,30.219999
"NCLH",2021-04-27,30.26,30.549999,29.76,30.5,11057100,30.5
"NCLH",2021-04-28,30.24,30.870001,30.17,30.23,11900800,30.23
"NCLH",2021-04-29,31.84,32.360001,30.17,30.309999,26778600,30.309999
"NCLH",2021-04-30,29.950001,31.129999,29.799999,31.049999,18344000,31.049999
"NCLH",2021-05-03,31.18,31.629999,30.74,31.190001,15661500,31.190001
"NCLH",2021-05-04,30.98,30.98,29.26,30.25,19390800,30.25
"NCLH",2021-05-05,30.35,30.690001,29.620001,29.85,14595900,29.85
"NCLH",2021-05-06,29.690001,30.18,27.27,27.809999,36855300,27.809999
"NCLH",2021-05-07,27.780001,28.700001,27.639999,28.48,18876000,28.48
"NCLH",2021-05-10,28.389999,28.68,27.93,27.950001,13671700,27.950001
"NCLH",2021-05-11,26.719999,27.83,26.549999,27.66,18426100,27.66
"NCLH",2021-05-12,27.219999,27.48,25.940001,26.110001,18348300,26.110001
"NCLH",2021-05-13,26.280001,27.02,25.48,26.440001,21741000,26.440001
"NCLH",2021-05-14,26.889999,28.65,26.77,28.58,23141400,28.58
"NCLH",2021-05-17,28.43,28.93,27.82,28.879999,19564500,28.879999
"NCLH",2021-05-18,29.01,30.049999,28.73,29.23,18712800,29.23
"NCLH",2021-05-19,28.309999,29.17,28.09,29.049999,16113600,29.049999
"NCLH",2021-05-20,29.09,29.200001,28.450001,29.07,11947800,29.07
"NCLH",2021-05-21,29.57,29.709999,28.690001,28.700001,14135500,28.700001
"NCLH",2021-05-24,29.1,30.219999,28.530001,30.049999,23038100,30.049999
"NCLH",2021-05-25,30.42,31.950001,30.41,31.120001,31788900,31.120001
"NCLH",2021-05-26,31.700001,32.049999,31.26,31.690001,22112100,31.690001
"NCLH",2021-05-27,31.799999,32.490002,31.5,32.419998,18272500,32.419998
"NCLH",2021-05-28,32.389999,32.450001,31.620001,31.9,18343300,31.9
"NCLH",2021-06-01,32.529999,33.200001,32.330002,32.759998,17201900,32.759998
"NCLH",2021-06-02,32.889999,33.619999,32.48,33.07,17391100,33.07
"NCLH",2021-06-03,32.830002,32.869999,31.940001,32.18,13825400,32.18
"NCLH",2021-06-04,32.369999,32.630001,31.700001,32.119999,12025900,32.119999
"NCLH",2021-06-07,32.400002,33.470001,32.34,33.110001,16275500,33.110001
"NCLH",2021-06-08,33.349998,33.93,33.099998,33.709999,15367300,33.709999
"NCLH",2021-06-09,33.91,33.950001,32.650002,32.66,14845800,32.66
"NCLH",2021-06-10,33.060001,33.139999,31.790001,32.490002,15420700,32.490002
"NCLH",2021-06-11,31.700001,32.459999,31.360001,32.23,12041900,32.23
"NCLH",2021-06-14,32.060001,32.279999,30.879999,31,15090100,31
"NCLH",2021-06-15,31.040001,31.559999,30.690001,30.870001,10572900,30.870001
"NCLH",2021-06-16,31.360001,31.790001,30.879999,31.68,18763700,31.68
"NCLH",2021-06-17,31.65,32.18,30.65,30.969999,14231000,30.969999
"NCLH",2021-06-18,30.530001,30.84,29.9,30.299999,15379100,30.299999
"NCLH",2021-06-21,30.459999,31.43,30.059999,31.379999,12363300,31.379999
"NCLH",2021-06-22,31.18,31.24,30.48,30.84,10295900,30.84
"NCLH",2021-06-23,30.82,31.379999,30.780001,31,8163100,31
"NCLH",2021-06-24,31.1,31.559999,30.59,30.610001,13530500,30.610001
"NCLH",2021-06-25,30.610001,31.190001,30.59,31.030001,11923100,31.030001
"NCLH",2021-06-28,30.719999,30.75,29.059999,29.139999,22074600,29.139999
"NCLH",2021-06-29,29.25,29.610001,28.879999,28.91,11724100,28.91
"NCLH",2021-06-30,28.93,29.700001,28.67,29.41,10059800,29.41
"NCLH",2021-07-01,29.68,30.049999,29.299999,29.51,8378300,29.51
"NCLH",2021-07-02,29.52,29.57,28.860001,29,8009600,29
"NCLH",2021-07-06,28.950001,29.25,27.780001,28.059999,13827500,28.059999
"NCLH",2021-07-07,27.799999,28.309999,26.860001,27.049999,16370900,27.049999
"NCLH",2021-07-08,26.18,27.33,25.83,26.74,16148400,26.74
"NCLH",2021-07-09,27.059999,27.530001,26.610001,27.49,9769100,27.49
"NCLH",2021-07-12,27,27.34,26.6,27.280001,8815800,27.280001
"NCLH",2021-07-13,26.85,26.969999,26.08,26.09,11494700,26.09
"NCLH",2021-07-14,26.280001,26.67,25.1,25.200001,17008700,25.200001
"NCLH",2021-07-15,24.959999,24.98,23.469999,24.450001,30168600,24.450001
"NCLH",2021-07-16,24.91,24.91,23.030001,23.139999,22478300,23.139999
"NCLH",2021-07-19,21.73,22.469999,21.280001,21.870001,32529100,21.870001
"NCLH",2021-07-20,22.01,23.940001,21.809999,23.68,24894600,23.68
"NCLH",2021-07-21,24.01,26.200001,24,26.08,31731200,26.08
"NCLH",2021-07-22,25.67,25.809999,24.940001,25.639999,18786400,25.639999
"NCLH",2021-07-23,25.75,25.92,24.780001,24.870001,15576000,24.870001
"NCLH",2021-07-26,24.610001,26.09,24.58,26.02,16866500,26.02
"NCLH",2021-07-27,25.799999,26.379999,25.15,25.450001,12786800,25.450001
"NCLH",2021-07-28,25.92,26.139999,24.82,25.52,14779600,25.52
"NCLH",2021-07-29,25.76,26.02,25.290001,25.309999,9930600,25.309999
"NCLH",2021-07-30,24.83,25.25,23.870001,24.030001,16416400,24.030001
"NCLH",2021-08-02,24.059999,24.92,23.51,23.58,15418300,23.58
"NCLH",2021-08-03,23.66,23.709999,22.51,23.190001,17723400,23.190001
"NCLH",2021-08-04,22.75,23.32,22.34,22.6,16008200,22.6
"NCLH",2021-08-05,22.66,24.23,22.620001,24.18,16943900,24.18
"NCLH",2021-08-06,24.559999,24.969999,23.75,24.889999,16975900,24.889999
"NCLH",2021-08-09,24.59,24.799999,23.59,24.66,14873200,24.66
"NCLH",2021-08-10,24.780001,26,24.65,25.82,15646900,25.82
"NCLH",2021-08-11,25.65,26.389999,25.08,26.27,15774600,26.27
"NCLH",2021-08-12,25.85,26,25.15,25.82,11772900,25.82
"NCLH",2021-08-13,25.73,25.75,24.85,25.040001,13488400,25.040001
"NCLH",2021-08-16,24.610001,24.860001,24.02,24.629999,11663300,24.629999
"NCLH",2021-08-17,24.1,24.27,23.280001,23.709999,13096600,23.709999
"NCLH",2021-08-18,23.65,24.42,23.290001,23.9,12372200,23.9
"NCLH",2021-08-19,23.450001,23.639999,22.59,23.059999,15720000,23.059999
"NCLH",2021-08-20,22.950001,23.639999,22.790001,23.629999,12708300,23.629999
"NCLH",2021-08-23,23.950001,24.780001,23.950001,24.639999,14360600,24.639999
"NCLH",2021-08-24,25.129999,25.959999,25.120001,25.780001,13530200,25.780001
"NCLH",2021-08-25,25.85,26.35,25.27,26.040001,13268200,26.040001
"NCLH",2021-08-26,25.780001,26.280001,25.07,25.33,12302300,25.33
"NCLH",2021-08-27,25.459999,26.370001,25.35,26.16,12165100,26.16
"NCLH",2021-08-30,26.4,26.4,25.299999,25.370001,10494900,25.370001
"NCLH",2021-08-31,25.23,25.969999,25.129999,25.84,10786200,25.84
"NCLH",2021-09-01,26,26.15,24.98,25.16,12071800,25.16
"NCLH",2021-09-02,25.27,26.01,24.57,25.48,17256500,25.48
"NCLH",2021-09-03,25.360001,25.6,24.43,24.620001,13974400,24.620001
"NCLH",2021-09-07,24.370001,25.18,24,25.040001,12489000,25.040001
"NCLH",2021-09-08,25,25.379999,24.309999,24.42,10943900,24.42
"NCLH",2021-09-09,24.360001,25.559999,24.190001,24.940001,12372300,24.940001
"NCLH",2021-09-10,25.129999,25.27,24.530001,24.59,10629700,24.59
"NCLH",2021-09-13,24.870001,25.51,24.120001,25.299999,12232400,25.299999
"NCLH",2021-09-14,25.139999,25.440001,24.620001,24.77,10077000,24.77
"NCLH",2021-09-15,24.68,25.16,24.34,25.07,9710100,25.07
"NCLH",2021-09-16,25.01,25.389999,24.82,25.059999,8317200,25.059999
"NCLH",2021-09-17,25.16,25.92,25.15,25.59,14203800,25.59
"NCLH",2021-09-20,25.01,25.25,24.469999,25.110001,14599600,25.110001
"NCLH",2021-09-21,25.35,25.690001,24.76,24.99,11297500,24.99
"NCLH",2021-09-22,25.23,26.32,25.219999,26.01,14617800,26.01
"NCLH",2021-09-23,26.51,27.65,26.440001,27.290001,19853700,27.290001
"NCLH",2021-09-24,27.33,28.25,27.200001,28.1,21474300,28.1
"NCLH",2021-09-27,28.540001,29.450001,28.290001,28.34,20178000,28.34
"NCLH",2021-09-28,28.24,28.85,27.75,27.93,13782200,27.93
"NCLH",2021-09-29,28.110001,28.190001,27.27,27.34,10434300,27.34
"NCLH",2021-09-30,27.24,27.25,26.440001,26.709999,11684800,26.709999
"NCLH",2021-10-01,27.790001,28.620001,27.75,28.309999,19404700,28.309999
"NCLH",2021-10-04,28.34,28.559999,27.389999,27.469999,13561500,27.469999
"NCLH",2021-10-05,27.65,28.309999,27.360001,27.76,13013100,27.76
"NCLH",2021-10-06,27.360001,27.780001,26.889999,27.59,12936600,27.59
"NCLH",2021-10-07,27.950001,28.049999,26.92,26.98,12665400,26.98
"NCLH",2021-10-08,27.030001,27.27,26.33,26.35,10605900,26.35
"NCLH",2021-10-11,26.219999,26.870001,25.950001,26.24,9176600,26.24
"NCLH",2021-10-12,26.299999,27.18,26.1,27.040001,10477200,27.040001
"NCLH",2021-10-13,27.040001,27.09,26.33,26.530001,9526200,26.530001
"NCLH",2021-10-14,26.77,26.92,26.41,26.6,7817900,26.6
"NCLH",2021-10-15,27.08,27.41,26.48,26.530001,7508100,26.530001
"NCLH",2021-10-18,26.35,26.450001,25.73,26.129999,11669100,26.129999
"NCLH",2021-10-19,26.129999,26.209999,25.59,25.620001,11130300,25.620001
"NCLH",2021-10-20,25.709999,25.879999,25.280001,25.6,12295900,25.6
"NCLH",2021-10-21,25.58,26.01,25.27,25.5,11014400,25.5
"NCLH",2021-10-22,25.26,25.549999,24.91,25.48,9857800,25.48
"NCLH",2021-10-25,25.530001,26.040001,25.440001,25.92,10596000,25.92
"NCLH",2021-10-26,26.4,26.68,25.809999,25.91,11373600,25.91
"NCLH",2021-10-27,26.09,26.09,25.48,25.5,9227100,25.5
"NCLH",2021-10-28,25.379999,26.1,25.059999,25.809999,9710600,25.809999
"NCLH",2021-10-29,25.74,26.34,25.440001,25.719999,11916100,25.719999
"NCLH",2021-11-01,25.860001,27.1,25.559999,27.07,12734000,27.07
"NCLH",2021-11-02,26.92,26.98,26.35,26.83,13378600,26.83
"NCLH",2021-11-03,26.35,27.58,25.790001,27.32,16387200,27.32
"NCLH",2021-11-04,27.4,27.77,26.690001,26.82,11217300,26.82
"NCLH",2021-11-05,28.709999,29.450001,28.08,28.92,33685400,28.92
"NCLH",2021-11-08,29.18,29.23,28.059999,28.24,16276500,28.24
"NCLH",2021-11-09,28.110001,28.25,27.4,27.799999,10522500,27.799999
"NCLH",2021-11-10,27.299999,27.799999,26.540001,26.73,10572800,26.73
"NCLH",2021-11-11,26.790001,27.049999,26.25,26.299999,9978100,26.299999
"NCLH",2021-11-12,26.370001,26.370001,25.389999,25.629999,14809400,25.629999
"NCLH",2021-11-15,25.68,26.139999,25.389999,25.51,11813400,25.51
"NCLH",2021-11-16,24.5,24.68,23.389999,23.639999,46999500,23.639999
"NCLH",2021-11-17,23.610001,24.129999,23.18,24,37758800,24
"NCLH",2021-11-18,24.09,24.24,23.16,23.58,20925900,23.58
"NCLH",2021-11-19,23.110001,23.68,22.709999,23.09,28171100,23.09
"NCLH",2021-11-22,23.290001,23.67,22.57,23,21118300,23
"NCLH",2021-11-23,23.34,23.59,22.4,22.559999,16716800,22.559999
"NCLH",2021-11-24,22.379999,22.950001,22.18,22.629999,16664900,22.629999
"NCLH",2021-11-26,20.530001,20.860001,19.08,20.059999,40629900,20.059999
"NCLH",2021-11-29,21.1,21.389999,19.57,20.219999,34566100,20.219999
"NCLH",2021-11-30,19.77,20.059999,18.84,19.51,39017800,19.51
"NCLH",2021-12-01,20,20.41,17.780001,17.790001,44903600,17.790001
"NCLH",2021-12-02,18.09,19.18,17.799999,19.16,40370600,19.16
"NCLH",2021-12-03,18.799999,19,17.92,18.290001,31296900,18.290001
"NCLH",2021-12-06,18.5,20.73,18.309999,20.030001,37254900,20.030001
"NCLH",2021-12-07,20.780001,21,19.92,20.120001,29493600,20.120001
"NCLH",2021-12-08,20.629999,22.34,20.52,21.77,41601100,21.77
"NCLH",2021-12-09,21.120001,21.77,21.02,21.41,24553700,21.41
"NCLH",2021-12-10,21.5,21.690001,20.860001,21.540001,16212800,21.540001
"NCLH",2021-12-13,20.959999,21.049999,19.950001,20.59,19980900,20.59
"NCLH",2021-12-14,20.08,20.92,20.08,20.34,16753900,20.34
"NCLH",2021-12-15,20.34,20.370001,19.27,20.07,24035100,20.07
"NCLH",2021-12-16,20.15,20.309999,19.110001,19.34,25144300,19.34
"NCLH",2021-12-17,19.110001,20.440001,19.01,20.33,30832200,20.33
"NCLH",2021-12-20,19.549999,20.950001,19.33,20.74,25532900,20.74
"NCLH",2021-12-21,20.950001,22.42,20.889999,22.190001,27223700,22.190001
"NCLH",2021-12-22,22.200001,22.879999,21.65,22.620001,21757500,22.620001
"NCLH",2021-12-23,23.049999,23.379999,22.34,22.719999,17668700,22.719999
